IdList,name,Kingdom,clade,Phylum,Class,Order,Family,Genus,Species
['470'],Acinetobacter baumanii,Bacteria,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex
['715'],Actinobacillus pleuropneumoniae ,Bacteria,,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus
['1396'],Bacillus cereus,Bacteria,Terrabacteria group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
,Bacillus spp.        ,Bacteria,Terrabacteria group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Species
['1423'],Bacillus subtilis,Bacteria,Terrabacteria group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group
['5476'],Candida albicans,Fungi,Opisthokonta,Dikarya,Ascomycota,saccharomyceta,Saccharomycotina,Saccharomycetes,Candida albicans
['5478'],Candida glabrata,Fungi,Opisthokonta,Dikarya,Ascomycota,saccharomyceta,Saccharomycotina,Saccharomycetes,Nakaseomyces
,Candida glochares,Fungi,Opisthokonta,Dikarya,Ascomycota,saccharomyceta,Saccharomycotina,Saccharomycetes,Candida glochares
['45582'],Candida saitoana,Fungi,Opisthokonta,Dikarya,Ascomycota,saccharomyceta,Saccharomycotina,Saccharomycetes,Candida glaebosa clade
['550'],Enterobacter cloacae ,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex
['1351'],Enterococcus faecalis,Bacteria,Terrabacteria group,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus
['1352'],Enterococcus faecium,Bacteria,Terrabacteria group,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus
['562'],Escherichia coli,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia
['727'],Haemophilus influenzae,Bacteria,,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus
['573'],Klebsiella pneumoniae,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella
['576'],Klebsiella sp.,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,unclassified Klebsiella
['1639'],Listeria monocytogenes,Bacteria,Terrabacteria group,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria
['1270'],Micrococcus luteus,Bacteria,Terrabacteria group,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus
['488'],Neisseria mucosa,Bacteria,,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria
['747'],Pasteurella Multocida,Bacteria,,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella
['584'],Proteus mirabilis,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus
['229037'],Proteus sp.,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,unclassified Proteus (in: enterobacteria)
['585'],Proteus vulgaris,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus
['287'],Pseudomonas aeruginosa,Bacteria,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group
['198620'],Pseudomonas koreensis,Bacteria,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group
['90370'],Salmonella  typhi,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica subsp. enterica
['28901'],Salmonella enterica,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella
['54388'],Salmonella Paratyphi,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica subsp. enterica
['90371'],Salmonella typhimurium ,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica subsp. enterica
['615'],Serratia marcescens,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia
['618'],Serratia odorifera,Bacteria,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia
['1280'],Staphylococcus aureus,Bacteria,Terrabacteria group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus
['1282'],Staphylococcus epidermidis,Bacteria,Terrabacteria group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus
['1309'],Streptococcus mutans,Bacteria,Terrabacteria group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus
