,Bacteria,Drug,MIC_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MaxAbsEStateIndex,MolWt,BCUT2D_MWHI,BCUT2D_MRHI,Ipc,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA4,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA12,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA11,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,RingCount,MolLogP,fr_Al_OH,fr_Ar_N,fr_NH0,fr_allylic_oxid,fr_bicyclic,fr_ether
56,Staphylococcus aureus,Cefazolin,0.625,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24.0,36.0,48,37,2,skin,Lactams,12.59807742658843,454.5190000000002,32.194712307118486,8.01450337730999,4550942.278740729,34.992453132702416,4.339655680673546,5.907179729351506,5.907179729351506,5.969305287951849,9.476340119217006,0.0,27.05793037429423,23.098670827325854,22.923611921069625,11.505707213493578,0.0,52.64422052337183,0.0,11.505707213493578,22.60508761474241,0.0,0.0,34.860555776716964,6.923737199690624,0.0,0.0,0.0,17.078811743562845,9.347279377526311,50.769588517477175,0.0,6.923737199690624,0.0,1.9784246318012204,4.242892128306505,31.125597457150874,0.6267425329100114,-1.1889873213750726,-0.7793093500281454,1.2901944440950919,1.7184856338468966,0.0,2.0,2.0,2.0,1.0,4.0,-0.6360799999999995,0.0,6.0,7.0,0.0,1.0,0.0
57,Pseudomonas aeruginosa,Cefazolin,0.625,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24.0,48.0,72,37,2,soil,Lactams,12.59807742658843,454.5190000000002,32.194712307118486,8.01450337730999,4550942.278740729,34.992453132702416,4.339655680673546,5.907179729351506,5.907179729351506,5.969305287951849,9.476340119217006,0.0,27.05793037429423,23.098670827325854,22.923611921069625,11.505707213493578,0.0,52.64422052337183,0.0,11.505707213493578,22.60508761474241,0.0,0.0,34.860555776716964,6.923737199690624,0.0,0.0,0.0,17.078811743562845,9.347279377526311,50.769588517477175,0.0,6.923737199690624,0.0,1.9784246318012204,4.242892128306505,31.125597457150874,0.6267425329100114,-1.1889873213750726,-0.7793093500281454,1.2901944440950919,1.7184856338468966,0.0,2.0,2.0,2.0,1.0,4.0,-0.6360799999999995,0.0,6.0,7.0,0.0,1.0,0.0
58,Escherichia coli,Cefazolin,0.3125,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48.0,84.0,120,37,2,urine,Lactams,12.59807742658843,454.5190000000002,32.194712307118486,8.01450337730999,4550942.278740729,34.992453132702416,4.339655680673546,5.907179729351506,5.907179729351506,5.969305287951849,9.476340119217006,0.0,27.05793037429423,23.098670827325854,22.923611921069625,11.505707213493578,0.0,52.64422052337183,0.0,11.505707213493578,22.60508761474241,0.0,0.0,34.860555776716964,6.923737199690624,0.0,0.0,0.0,17.078811743562845,9.347279377526311,50.769588517477175,0.0,6.923737199690624,0.0,1.9784246318012204,4.242892128306505,31.125597457150874,0.6267425329100114,-1.1889873213750726,-0.7793093500281454,1.2901944440950919,1.7184856338468966,0.0,2.0,2.0,2.0,1.0,4.0,-0.6360799999999995,0.0,6.0,7.0,0.0,1.0,0.0
59,Staphylococcus aureus,Mupirocin,0.625,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24.0,36.0,48,37,2,skin,Fatty acyls,12.05413056512242,500.62900000000013,16.598433185716036,5.822051504664327,46042084.965057455,6.103966387748303,0.0,0.0,0.0,11.938610575903699,4.794537184071822,0.0,0.0,38.18012822146393,39.53076089108528,24.332653822082676,43.73359586776734,11.938610575903699,11.835812092322787,13.213763929025836,11.64912463690315,0.0,0.0,0.0,11.835812092322787,0.0,0.0,0.0,38.04933332787313,32.10410811463005,6.076020106833881,13.847474399381248,6.923737199690624,19.31711625624085,16.719009641896037,0.0,39.46983550314171,0.7078508872046937,-1.4219554285331526,0.0,4.6140264725236975,6.066933873259326,0.0,2.0,2.0,0.0,2.0,2.0,2.5925000000000016,3.0,0.0,0.0,0.0,0.0,3.0
60,Pseudomonas aeruginosa,Mupirocin,0.3125,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24.0,48.0,72,37,2,soil,Fatty acyls,12.05413056512242,500.62900000000013,16.598433185716036,5.822051504664327,46042084.965057455,6.103966387748303,0.0,0.0,0.0,11.938610575903699,4.794537184071822,0.0,0.0,38.18012822146393,39.53076089108528,24.332653822082676,43.73359586776734,11.938610575903699,11.835812092322787,13.213763929025836,11.64912463690315,0.0,0.0,0.0,11.835812092322787,0.0,0.0,0.0,38.04933332787313,32.10410811463005,6.076020106833881,13.847474399381248,6.923737199690624,19.31711625624085,16.719009641896037,0.0,39.46983550314171,0.7078508872046937,-1.4219554285331526,0.0,4.6140264725236975,6.066933873259326,0.0,2.0,2.0,0.0,2.0,2.0,2.5925000000000016,3.0,0.0,0.0,0.0,0.0,3.0
61,Escherichia coli,Mupirocin,0.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48.0,84.0,120,37,2,urine,Fatty acyls,12.05413056512242,500.62900000000013,16.598433185716036,5.822051504664327,46042084.965057455,6.103966387748303,0.0,0.0,0.0,11.938610575903699,4.794537184071822,0.0,0.0,38.18012822146393,39.53076089108528,24.332653822082676,43.73359586776734,11.938610575903699,11.835812092322787,13.213763929025836,11.64912463690315,0.0,0.0,0.0,11.835812092322787,0.0,0.0,0.0,38.04933332787313,32.10410811463005,6.076020106833881,13.847474399381248,6.923737199690624,19.31711625624085,16.719009641896037,0.0,39.46983550314171,0.7078508872046937,-1.4219554285331526,0.0,4.6140264725236975,6.066933873259326,0.0,2.0,2.0,0.0,2.0,2.0,2.5925000000000016,3.0,0.0,0.0,0.0,0.0,3.0
62,Staphylococcus aureus,Gentamicin,1.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24.0,36.0,48,37,2,skin,Aminoglycoside ,11.129477946271102,477.60300000000035,16.71320241000861,5.015798641482701,12965995.530690867,30.016916361976897,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.205283233513654,18.12552248744388,24.794530010557143,0.0,17.201002431486554,20.702225929867296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,6.4208216229260096,0.0,13.971409182367815,13.971409182367815,36.148454246686754,23.720991550922037,0.0,38.34001374191151,17.507355870220174,0.0,-2.1118188855886944,-4.221864506384813,3.5225569882466115,3.492765240673166,2.0,3.0,0.0,3.0,3.0,-3.327499999999995,3.0,0.0,0.0,0.0,0.0,4.0
63,Pseudomonas aeruginosa,Gentamicin,0.625,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24.0,48.0,72,37,2,soil,Aminoglycoside ,11.129477946271102,477.60300000000035,16.71320241000861,5.015798641482701,12965995.530690867,30.016916361976897,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.205283233513654,18.12552248744388,24.794530010557143,0.0,17.201002431486554,20.702225929867296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,6.4208216229260096,0.0,13.971409182367815,13.971409182367815,36.148454246686754,23.720991550922037,0.0,38.34001374191151,17.507355870220174,0.0,-2.1118188855886944,-4.221864506384813,3.5225569882466115,3.492765240673166,2.0,3.0,0.0,3.0,3.0,-3.327499999999995,3.0,0.0,0.0,0.0,0.0,4.0
64,Escherichia coli,Gentamicin,0.3125,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48.0,84.0,120,37,2,urine,Aminoglycoside ,11.129477946271102,477.60300000000035,16.71320241000861,5.015798641482701,12965995.530690867,30.016916361976897,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.205283233513654,18.12552248744388,24.794530010557143,0.0,17.201002431486554,20.702225929867296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,6.4208216229260096,0.0,13.971409182367815,13.971409182367815,36.148454246686754,23.720991550922037,0.0,38.34001374191151,17.507355870220174,0.0,-2.1118188855886944,-4.221864506384813,3.5225569882466115,3.492765240673166,2.0,3.0,0.0,3.0,3.0,-3.327499999999995,3.0,0.0,0.0,0.0,0.0,4.0
65,Staphylococcus aureus,Neomycin,0.625,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24.0,36.0,48,37,2,skin,aminoglycoside ,11.113683008276261,614.6500000000002,16.758510780180902,5.0184038532599855,1343092814.156435,67.14363026523132,18.870080188005637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,25.17319447012107,24.794530010557143,0.0,34.40200486297311,19.696394776338067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.82318258577341,34.648401683932605,0.0,72.9766666518619,35.636528518238705,0.0,-4.1844130215872735,-19.777180096406134,-0.9666704027064863,0.0,3.0,4.0,0.0,4.0,4.0,-8.895300000000017,7.0,0.0,0.0,0.0,0.0,6.0
