,Bacteria,NP_Synthesis,Drug,Drug_dose (μg/disk),NP_concentration (μg/disk),NP size_avg (nm),shape,ZOI_NP,ZOI_drug_NP,ZOI_drug,kingdom,phylum,class,order,family,genus,species,gram,"avg_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MaxAbsEStateIndex,MolWt,BCUT2D_MWHI,BCUT2D_MRHI,Ipc,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA4,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA12,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA11,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,RingCount,MolLogP,fr_Al_OH,fr_Ar_N,fr_NH0,fr_allylic_oxid,fr_bicyclic,fr_ether
24,Escherichia coli,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100.0,21.0,spherical,15.0,13.0,0.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,84.0,37,2,urine,phenol ethers,5.848108465608465,290.32300000000004,16.52993347195911,5.550690334116603,52230.22737876032,5.817862777835028,11.49902366656781,11.6978511142704,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,17.696185628620217,18.18111668623608,21.3293926238326,11.766202058821523,0.0,32.796727578156975,29.456480691930288,17.248535499851716,11.766202058821523,0.0,0.0,0.0,0.0,0.0,29.48721990061275,11.126902983393991,0.0,27.526236195445676,12.13273413692322,25.67792381572452,15.924874707790472,0.0,0.0,13.050571864369664,2.228001325657803,3.7165684051398338,2.1425385015117158,0.0,4.703740547004436,0.0,0.0,2.0,0.0,2.0,1.2575999999999998,0.0,2.0,2.0,0.0,0.0,3.0
25,Staphylococcus aureus,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100.0,21.0,spherical,16.0,15.0,0.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,36.0,37,2,skin,phenol ethers,5.848108465608465,290.32300000000004,16.52993347195911,5.550690334116603,52230.22737876032,5.817862777835028,11.49902366656781,11.6978511142704,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,17.696185628620217,18.18111668623608,21.3293926238326,11.766202058821523,0.0,32.796727578156975,29.456480691930288,17.248535499851716,11.766202058821523,0.0,0.0,0.0,0.0,0.0,29.48721990061275,11.126902983393991,0.0,27.526236195445676,12.13273413692322,25.67792381572452,15.924874707790472,0.0,0.0,13.050571864369664,2.228001325657803,3.7165684051398338,2.1425385015117158,0.0,4.703740547004436,0.0,0.0,2.0,0.0,2.0,1.2575999999999998,0.0,2.0,2.0,0.0,0.0,3.0
26,Micrococcus luteus,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100.0,21.0,spherical,14.0,13.0,0.0,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,288.0,30,1,soil,phenol ethers,5.848108465608465,290.32300000000004,16.52993347195911,5.550690334116603,52230.22737876032,5.817862777835028,11.49902366656781,11.6978511142704,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,17.696185628620217,18.18111668623608,21.3293926238326,11.766202058821523,0.0,32.796727578156975,29.456480691930288,17.248535499851716,11.766202058821523,0.0,0.0,0.0,0.0,0.0,29.48721990061275,11.126902983393991,0.0,27.526236195445676,12.13273413692322,25.67792381572452,15.924874707790472,0.0,0.0,13.050571864369664,2.228001325657803,3.7165684051398338,2.1425385015117158,0.0,4.703740547004436,0.0,0.0,2.0,0.0,2.0,1.2575999999999998,0.0,2.0,2.0,0.0,0.0,3.0
27,Pseudomonas aeruginosa,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100.0,21.0,spherical,14.0,13.0,0.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,48.0,37,2,soil,phenol ethers,5.848108465608465,290.32300000000004,16.52993347195911,5.550690334116603,52230.22737876032,5.817862777835028,11.49902366656781,11.6978511142704,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,17.696185628620217,18.18111668623608,21.3293926238326,11.766202058821523,0.0,32.796727578156975,29.456480691930288,17.248535499851716,11.766202058821523,0.0,0.0,0.0,0.0,0.0,29.48721990061275,11.126902983393991,0.0,27.526236195445676,12.13273413692322,25.67792381572452,15.924874707790472,0.0,0.0,13.050571864369664,2.228001325657803,3.7165684051398338,2.1425385015117158,0.0,4.703740547004436,0.0,0.0,2.0,0.0,2.0,1.2575999999999998,0.0,2.0,2.0,0.0,0.0,3.0
28,Enterococcus faecalis,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100.0,21.0,spherical,15.0,16.0,0.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,p,36.0,37,2,urine,phenol ethers,5.848108465608465,290.32300000000004,16.52993347195911,5.550690334116603,52230.22737876032,5.817862777835028,11.49902366656781,11.6978511142704,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,17.696185628620217,18.18111668623608,21.3293926238326,11.766202058821523,0.0,32.796727578156975,29.456480691930288,17.248535499851716,11.766202058821523,0.0,0.0,0.0,0.0,0.0,29.48721990061275,11.126902983393991,0.0,27.526236195445676,12.13273413692322,25.67792381572452,15.924874707790472,0.0,0.0,13.050571864369664,2.228001325657803,3.7165684051398338,2.1425385015117158,0.0,4.703740547004436,0.0,0.0,2.0,0.0,2.0,1.2575999999999998,0.0,2.0,2.0,0.0,0.0,3.0
29,Acinetobacter baumannii,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100.0,21.0,spherical,15.0,13.0,0.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,36.0,37,2,urine,phenol ethers,5.848108465608465,290.32300000000004,16.52993347195911,5.550690334116603,52230.22737876032,5.817862777835028,11.49902366656781,11.6978511142704,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,17.696185628620217,18.18111668623608,21.3293926238326,11.766202058821523,0.0,32.796727578156975,29.456480691930288,17.248535499851716,11.766202058821523,0.0,0.0,0.0,0.0,0.0,29.48721990061275,11.126902983393991,0.0,27.526236195445676,12.13273413692322,25.67792381572452,15.924874707790472,0.0,0.0,13.050571864369664,2.228001325657803,3.7165684051398338,2.1425385015117158,0.0,4.703740547004436,0.0,0.0,2.0,0.0,2.0,1.2575999999999998,0.0,2.0,2.0,0.0,0.0,3.0
30,Klebsiella pneumoniae,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100.0,21.0,spherical,14.0,12.0,0.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,48.0,30,2,respiratory tract,phenol ethers,5.848108465608465,290.32300000000004,16.52993347195911,5.550690334116603,52230.22737876032,5.817862777835028,11.49902366656781,11.6978511142704,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,17.696185628620217,18.18111668623608,21.3293926238326,11.766202058821523,0.0,32.796727578156975,29.456480691930288,17.248535499851716,11.766202058821523,0.0,0.0,0.0,0.0,0.0,29.48721990061275,11.126902983393991,0.0,27.526236195445676,12.13273413692322,25.67792381572452,15.924874707790472,0.0,0.0,13.050571864369664,2.228001325657803,3.7165684051398338,2.1425385015117158,0.0,4.703740547004436,0.0,0.0,2.0,0.0,2.0,1.2575999999999998,0.0,2.0,2.0,0.0,0.0,3.0
31,Bacillus spp.,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100.0,21.0,spherical,15.0,13.0,0.0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified Bacillus,p,10.0,30,2,soil,phenol ethers,5.848108465608465,290.32300000000004,16.52993347195911,5.550690334116603,52230.22737876032,5.817862777835028,11.49902366656781,11.6978511142704,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,17.696185628620217,18.18111668623608,21.3293926238326,11.766202058821523,0.0,32.796727578156975,29.456480691930288,17.248535499851716,11.766202058821523,0.0,0.0,0.0,0.0,0.0,29.48721990061275,11.126902983393991,0.0,27.526236195445676,12.13273413692322,25.67792381572452,15.924874707790472,0.0,0.0,13.050571864369664,2.228001325657803,3.7165684051398338,2.1425385015117158,0.0,4.703740547004436,0.0,0.0,2.0,0.0,2.0,1.2575999999999998,0.0,2.0,2.0,0.0,0.0,3.0
32,Escherichia coli,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10.0,100.0,21.0,spherical,15.0,12.0,9.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,84.0,37,2,urine,Aminoglycoside ,11.129477946271102,477.60300000000035,16.71320241000861,5.015798641482701,12965995.530690867,30.016916361976897,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.205283233513654,18.12552248744388,24.794530010557143,0.0,17.201002431486554,20.702225929867296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,6.4208216229260096,0.0,13.971409182367815,13.971409182367815,36.148454246686754,23.720991550922037,0.0,38.34001374191151,17.507355870220174,0.0,-2.1118188855886944,-4.221864506384813,3.5225569882466115,3.492765240673166,2.0,3.0,0.0,3.0,3.0,-3.327499999999995,3.0,0.0,0.0,0.0,0.0,4.0
33,Staphylococcus aureus,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10.0,100.0,21.0,spherical,16.0,21.0,15.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,36.0,37,2,skin,Aminoglycoside ,11.129477946271102,477.60300000000035,16.71320241000861,5.015798641482701,12965995.530690867,30.016916361976897,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.205283233513654,18.12552248744388,24.794530010557143,0.0,17.201002431486554,20.702225929867296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,6.4208216229260096,0.0,13.971409182367815,13.971409182367815,36.148454246686754,23.720991550922037,0.0,38.34001374191151,17.507355870220174,0.0,-2.1118188855886944,-4.221864506384813,3.5225569882466115,3.492765240673166,2.0,3.0,0.0,3.0,3.0,-3.327499999999995,3.0,0.0,0.0,0.0,0.0,4.0
